wave,0_0_flux
3907.980000000053,1996.3557604194089
3908.0400000000536,2066.1554910256637
3908.100000000054,2108.061951927991
3908.1600000000544,2107.0935031290537
3908.220000000055,2083.5182863211626
3908.280000000055,1975.8706075778764
3908.3400000000556,1827.3257068097141
3908.400000000056,1738.8218392833214
3908.4600000000564,1722.951333784318
3908.520000000057,1775.936749298738
3908.580000000057,1891.178420712744
3908.6400000000576,2066.2478418965434
3908.700000000058,2199.968345265461
3908.7600000000584,2215.0506971434065
3908.820000000059,2133.7154314803715
3908.880000000059,2023.5295051965443
3908.9400000000596,1939.9188715469338
3909.00000000006,1889.1999197654268
3909.0600000000604,1851.1025468276232
3909.120000000061,1828.9210313448127
3909.180000000061,1857.4456692277188
3909.2400000000616,1859.8525697146154
3909.300000000062,1823.6013365768472
3909.3600000000624,1809.0832857856474
3909.420000000063,1847.713705951642
3909.4800000000632,1984.496257153559
3909.5400000000636,2172.052195355564
3909.600000000064,2308.4025150114007
3909.6600000000644,2417.100337466403
3909.720000000065,2533.8880159351934
3909.7800000000652,2591.0856048012015
3909.8400000000656,2566.0827360684607
3909.900000000066,2521.693379808772
3909.9600000000664,2419.841378948895
3910.020000000067,2301.1265911893915
3910.0800000000672,2171.446146381923
3910.1400000000676,1974.7456287455714
3910.200000000068,1747.3429135189078
3910.2600000000684,1571.941104860921
3910.320000000069,1507.1981177057764
3910.3800000000692,1599.3069362062593
3910.4400000000696,1799.3766471736808
3910.50000000007,2032.0919808959552
3910.5600000000704,2286.159323182621
3910.620000000071,2553.740692570239
3910.6800000000712,2728.1636821878133
3910.7400000000716,2859.3870752153034
3910.800000000072,2876.3797929010175
3910.8600000000724,2847.307900314704
3910.920000000073,2809.887917876978
3910.9800000000732,2786.7243719190524
3911.0400000000736,2739.7409482676826
3911.100000000074,2655.188324363853
3911.1600000000744,2523.6208146031063
3911.220000000075,2384.0460581270104
3911.2800000000752,2243.0615941748983
3911.3400000000756,2082.0362598549686
3911.400000000076,1954.2118458022333
3911.4600000000764,1885.130873134938
3911.520000000077,1840.6594180367974
3911.5800000000772,1895.9394474157937
3911.6400000000776,1968.2962882691008
3911.700000000078,2029.263280166373
3911.7600000000784,2132.3833176268763
3911.820000000079,2251.620266144901
3911.8800000000792,2378.7869952474925
3911.9400000000796,2531.281033090641
3912.00000000008,2636.8661682099587
3912.0600000000804,2702.9797356206736
3912.120000000081,2765.96221471351
3912.1800000000812,2763.137212820357
3912.2400000000816,2713.997237854298
3912.300000000082,2634.789034071715
3912.3600000000824,2512.38030081092
3912.420000000083,2395.538081892172
3912.4800000000832,2323.992687655477
3912.5400000000836,2207.086018328807
3912.600000000084,2074.914804676443
3912.6600000000844,1943.598574160102
3912.720000000085,1857.5660146477892
3912.7800000000852,1798.8264760819254
3912.8400000000856,1785.1719930046713
3912.900000000086,1854.7446820175924
3912.9600000000864,2045.197932207389
3913.020000000087,2280.343515213288
3913.0800000000872,2509.491216105187
3913.1400000000876,2677.7525407431294
3913.200000000088,2797.136497272858
3913.2600000000884,2835.752940755728
3913.320000000089,3034.007997236814
3913.3800000000892,3200.7599845780574
3913.4400000000896,3261.505411358381
3913.50000000009,2896.952716768387
3913.5600000000904,2611.0747894159063
3913.620000000091,2506.533700280342
3913.6800000000912,2358.5781920483437
3913.7400000000916,2141.532874523037
3913.800000000092,1852.0046563931496
3913.8600000000924,1505.0806095508947
3913.920000000093,1194.1547147038766
3913.9800000000932,980.871084695392
3914.0400000000936,909.6357595860372
3914.100000000094,1024.7115962326484
3914.1600000000944,1310.334039480222
3914.220000000095,1703.492783493997
3914.2800000000952,2078.0182905673432
3914.3400000000956,2405.198994551457
3914.400000000096,2650.0993517602174
3914.4600000000964,2747.625614302402
3914.520000000097,2669.7742827024986
3914.5800000000972,2474.649474920884
3914.6400000000976,2192.3250613465248
3914.700000000098,1873.4462826474646
3914.7600000000984,1603.0512984604302
3914.820000000099,1359.6282443983682
3914.8800000000992,1179.395210839096
3914.9400000000996,1187.3953405967723
3915.0000000001,1377.9624316497711
3915.0600000001004,1674.2416212210867
3915.120000000101,1976.124824959794
3915.1800000001012,2234.6770499775002
3915.2400000001016,2475.465543256915
3915.300000000102,2684.417507121463
3915.3600000001024,2774.743741730383
3915.420000000103,2800.942880131058
3915.4800000001032,2748.1687724568415
