wave,0_1_cont_active,0_2_cont_synth,0_3_cont_tr_normed,0_4_cont_np_normed,0_5_cont_en_normed,1_0_res_en_normed_tr_normed,1_1_res_np_normed_tr_normed,1_2_res_nns_tr_normed,1_3_res_nna_tr_normed,1_4_err_lower,1_5_err_upper
5646.000000011645,580.9597547413409,580.9076506529877,578.0418999573474,582.2460240330727,578.3549645545505,-0.0005413018239486712,-0.0005413018239486712,-0.004933229190901256,-0.005022473099268192,-0.0022294067774519307,0.0022294067774519307
5646.300000011647,580.9041377230466,580.7475651385961,577.9592028512584,582.1203190108763,578.3416821960338,-0.0006613380230923294,-0.0006613380230923294,-0.0048013349559244715,-0.0050695718693829495,-0.002047419689047673,0.002047419689047673
5646.600000011649,580.8496397708028,580.5565416271307,577.8735139547678,581.9903495605245,578.3242005429256,-0.0007792974731730469,-0.0007792974731730469,-0.004621470635709274,-0.005123744440009124,-0.0036229398342399544,0.0036229398342399544
5646.900000011651,580.7963291896735,580.3494695191488,577.788534605846,581.8578713209561,578.3043071540583,-0.0008918704941873752,-0.0008918704941873752,-0.00441275656666575,-0.00517874502025307,-0.0022921148880460027,0.0022921148880460027
5647.200000011653,580.7442753104925,580.1412232576686,577.71186237799,581.7318102266635,578.290522860834,-0.0010006397476156953,-0.0010006397476156953,-0.004187529953043086,-0.005221596714987109,-0.0029081884012912736,0.0029081884012912736
5647.500000011655,580.6935469833023,579.9466880729743,577.6293617108892,581.5983786834357,578.2692254175017,-0.001106515232849643,-0.001106515232849643,-0.003995760541250576,-0.0052767690777481,-0.001886314909732467,0.001886314909732467
5647.800000011657,580.6442124783941,579.7772610323251,577.5515213310237,581.4672985596567,578.2492780481488,-0.0012066711427299159,-0.0012066711427299159,-0.0038389542501674804,-0.00532630942429173,-0.0034489673908660837,0.0034489673908660837
5648.100000011659,580.5963412837555,579.6332504200216,577.4729680110293,581.333543245585,578.2255847344409,-0.0013015970639854298,-0.0013015970639854298,-0.00372698271342472,-0.005379595601386656,-0.003074782483532404,0.003074782483532404
5648.400000011661,580.5500021078179,579.5127238741958,577.397951958641,581.2018304583727,578.2022491141306,-0.0013910308317233574,-0.0013910308317233574,-0.003649215013338825,-0.0054294167678152075,-0.002991244458374042,0.002991244458374042
5648.700000011663,580.5052632053299,579.4137447848244,577.322141701232,581.0673080066028,578.1746444442674,-0.0014744727241623877,-0.0014744727241623877,-0.0036098625423130635,-0.0054833644835597835,-0.002636864770697061,0.002636864770697061
5649.000000011665,580.4621942406627,579.3343946726033,577.2487433808027,580.9343355789453,578.1451336994193,-0.0015504589874877491,-0.0015504589874877491,-0.0036000825479857723,-0.005536021302394381,-0.002085987456426873,0.002085987456426873
5649.300000011667,580.4208637421768,579.2727400358646,577.1804966498722,580.8045585781767,578.1166215616961,-0.0016192665578359001,-0.0016192665578359001,-0.003611855465337133,-0.005582796626400055,-0.0016550890182644394,0.0016550890182644394
5649.600000011669,580.3813399683083,579.2268472543079,577.1071222932877,580.6677111454711,578.0793712706173,-0.001681860702264077,-0.001681860702264077,-0.0036595770853157213,-0.0056414942776899036,-0.001554780233602998,0.001554780233602998
5649.900000011671,580.343692779042,579.1947954598057,577.0373387436756,580.5333148068496,578.040658600251,-0.0017357254055536903,-0.0017357254055536903,-0.0037249210952141286,-0.00569722993365596,-0.0016762805624448008,0.0016762805624448008
5650.200000011673,580.307990484207,579.1746510886913,576.9763524900823,580.4071464571841,578.0058730364649,-0.001781159317593397,-0.001781159317593397,-0.0037955732081006704,-0.005741159557898447,-0.002543665128975296,0.002543665128975296
5650.500000011675,580.274301365157,579.1644829714866,576.8800615224219,580.2438937480914,577.9300911413893,-0.0018168799913043012,-0.0018168799913043012,-0.003944338916416836,-0.0058493671605615,-0.00290381044853188,0.00290381044853188
5650.800000011677,580.2426954967202,579.1623673123403,576.8402933240952,580.1359995626822,577.9066074884131,-0.0018451323284779,-0.0018451323284779,-0.004009366117586817,-0.005863757640423161,-0.003047406238239163,0.003047406238239163
5651.100000011679,580.2132409317352,579.1663715633863,576.7781276441239,580.0040937609821,577.8534708774127,-0.001860927185668958,-0.001860927185668958,-0.004123588859351719,-0.005920431831557733,-0.00295196199181931,0.00295196199181931
5651.400000011681,580.186005993703,579.1745664670698,576.7259651071533,579.8818876520869,577.8047231194722,-0.0018669941057158446,-0.0018669941057158446,-0.004227743524695532,-0.005963674419895356,-0.0036369912850495157,0.0036369912850495157
5651.700000011683,580.1610609915249,579.1850247609162,576.6604627980405,579.7452061662716,577.7372384779144,-0.0018637809858177636,-0.0018637809858177636,-0.004358817417005512,-0.006033839287133713,-0.0023937587099989817,0.0023937587099989817
5652.000000011685,580.1384736825894,579.1958159906599,576.601768027372,579.6147670580746,577.6697398575195,-0.001848758479907351,-0.001848758479907351,-0.004478705232855614,-0.006096315141156087,-0.0012764491971539772,0.0012764491971539772
5652.300000011687,580.1183124517743,579.2050122717689,576.5491477869839,579.4894291047784,577.6006683927983,-0.0018204975571449904,-0.0018204975571449904,-0.004585361769060296,-0.006152477009526009,-0.0033265293658511184,0.0033265293658511184
5652.600000011689,580.1006478612838,579.2106823362448,576.4980995536845,579.364708510736,577.5261661038824,-0.0017801211625325982,-0.0017801211625325982,-0.004683240418234923,-0.006210211682267882,-0.0021073002706957543,0.0021073002706957543
5652.900000011691,580.0855473345965,579.2108989012227,576.445126574396,579.2380464430394,577.4432351736017,-0.001728496479667924,-0.001728496479667924,-0.004775069626772753,-0.006275662222861398,-0.002963600865024947,0.002963600865024947
5653.200000011693,580.0730793371976,579.2037349162931,576.3947386048509,579.1131202399539,577.3543764026797,-0.0016621295984765117,-0.0016621295984765117,-0.00484975524480984,-0.006341167867899229,-0.0027363691154978368,0.0027363691154978368
5653.500000011695,580.0633642756377,579.1873611328407,576.3479788315955,578.9910790654657,577.2613154421621,-0.0015821891856152466,-0.0015821891856152466,-0.004902357137454784,-0.006405137865098168,-0.002116443580144852,0.002116443580144852
5653.800000011697,580.0600024739113,579.1674499424145,576.3069013099528,578.8748808833121,577.166467290003,-0.0014892860704229412,-0.0014892860704229412,-0.00493906923539437,-0.006470194863951988,-0.003960044695846581,0.003960044695846581
5654.100000011699,580.0723331931003,579.1620036693511,576.2642684487827,578.7565649529149,577.0612374490088,-0.00138108219458523,-0.00138108219458523,-0.005003324097275998,-0.0065648100955784,-0.003189250051203992,0.003189250051203992
5654.400000011701,580.1102607258432,579.1902196318044,576.2249492412698,578.6416501713829,576.9498679519464,-0.0012564674176112065,-0.0012564674176112065,-0.005119684409982684,-0.006697541017184651,-0.0025756147378940527,0.0025756147378940527
5654.700000011703,580.1836504948204,579.2712444227894,576.1905684924958,578.5316056812987,576.8354273098943,-0.0011179251253788795,-0.0011179251253788795,-0.005318182027207281,-0.006882436306756186,-0.0018016152374213423,0.0018016152374213423
5655.000000011705,580.3023788707193,579.4233393781269,576.1509967939069,578.4155402531527,576.7050217615448,-0.0009606730420790004,-0.0009606730420790004,-0.0056475854864498475,-0.007153826052334767,-0.0014069239114013377,0.0014069239114013377
5655.300000011707,580.47637427175,579.6151931301267,576.1342173198576,578.3225077429126,576.5860387841162,-0.0007836149921551642,-0.0007836149921551642,-0.006005749031989195,-0.0074804286338346826,-0.001948489822905421,0.001948489822905421
5655.600000011709,580.7154763969338,579.7408015351789,576.0898143645306,578.2027316245329,576.4321307513378,-0.0005938537575291733,-0.0005938537575291733,-0.006297623050095704,-0.007965468742461145,-0.002510888489822327,0.002510888489822327
5655.900000011711,581.0295668175177,579.6880787604538,576.0656815998093,578.1025025441147,576.2944685071765,-0.00039699653539937646,-0.00039699653539937646,-0.006248872617040911,-0.00854325814389184,-0.0018734247559281825,0.0018734247559281825
